Year,Era,Track Name,Artist Name,Release Date,Genres,Track Duration (seconds),Popularity (Rating),Instrumentalness,Acousticness,Danceability,Valence,Energy
2003,2000s,Kokomo,The Beach Boys,2003-01-01,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, singer-songwriter, sunshine pop",217.692,71,0.0,0.00863,0.682,0.927,0.635
2003,2000s,Soul to Squeeze,Red Hot Chili Peppers,2003-11-18,"alternative rock, funk metal, funk rock, permanent wave, rock",289.533,70,0.000572,0.0322,0.663,0.656,0.546
2003,2000s,Lying from You,Linkin Park,2003-09-16,"alternative metal, nu metal, post-grunge, rap metal, rock",175.053,66,0.0,0.007,0.531,0.76,0.952
2003,2000s,Y'all Want a Single,Korn,2003-11-19,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",197.906,66,0.0,0.0101,0.758,0.721,0.813
2003,2000s,Closing Time,Semisonic,2003-01-01,"pop rock, post-grunge",274.16,70,1.21e-06,0.0204,0.478,0.274,0.854
2003,2000s,Feeling This,blink-182,2003-11-01,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",172.645,69,0.0,0.103,0.411,0.622,0.962
2003,2000s,Right Thurr,Chingy,2003-01-01,"crunk, dirty south rap, hip pop, pop rap, southern hip hop",250.746,68,0.0,0.15,0.866,0.891,0.749
2003,2000s,Rock Wit U (Awww Baby),Ashanti,2003-01-01,"dance pop, hip pop, r&b, urban contemporary",209.12,69,0.0,0.409,0.71,0.849,0.797
2003,2000s,I Hate Everything About You,Three Days Grace,2003-07-22,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge, rock",231.48,70,0.0,0.00461,0.498,0.453,0.83
2003,2000s,Red Dirt Road,Brooks & Dunn,2003-07-15,"contemporary country, country, country road",260.36,66,0.000117,0.0664,0.555,0.479,0.868
2003,2000s,45,Shinedown,2003-05-27,"alternative metal, nu metal, post-grunge",250.093,65,0.0,0.0022,0.446,0.215,0.657
2003,2000s,Maps,Yeah Yeah Yeahs,2003-04-29,"alternative dance, alternative rock, art pop, dance-punk, garage rock, indie rock, modern rock, neo-synthpop, new rave",219.986,68,0.319,0.000346,0.502,0.124,0.941
2003,2000s,Roses,Outkast,2003,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop",369.573,69,1.85e-05,0.0482,0.751,0.509,0.708
2003,2000s,If I Can't,50 Cent,2003-02-06,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",196.64,65,0.0,0.244,0.892,0.838,0.631
2003,2000s,Behind Blue Eyes,Limp Bizkit,2003-01-01,"alternative metal, funk metal, nu metal, post-grunge, rap metal, rock",269.973,74,0.0,0.497,0.595,0.0902,0.489
2003,2000s,Just Like You,Three Days Grace,2003-04-19,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge, rock",186.893,66,0.0,9.4e-06,0.373,0.565,0.737
2003,2000s,I Love This Bar,Toby Keith,2003-11-04,"classic oklahoma country, contemporary country, country, country road",335.333,65,0.00648,0.0246,0.608,0.451,0.824
2003,2000s,Breaking the Habit,Linkin Park,2003-09-16,"alternative metal, nu metal, post-grunge, rap metal, rock",196.133,66,0.0,0.105,0.58,0.587,0.865
2003,2000s,Let's Get It Started - Spike Mix,Black Eyed Peas,2003-06-24,"dance pop, pop, pop rap",217.733,72,0.0,0.105,0.783,0.805,0.794
2003,2000s,Grand Theft Autumn / Where Is Your Boy,Fall Out Boy,2003-05-06,"emo, modern rock, pop, pop punk, rock",191.373,66,0.0,0.000706,0.628,0.72,0.886
2004,2000s,Mr. Brightside,The Killers,2004,"alternative rock, dance rock, modern rock, permanent wave, rock",222.973,87,0.0,0.00121,0.352,0.236,0.911
2004,2000s,Unwritten,Natasha Bedingfield,2004-08-30,"dance pop, pop, post-teen pop",259.333,88,0.0,0.00584,0.706,0.629,0.8
2004,2000s,Yeah! (feat. Lil Jon & Ludacris),USHER,2004-03-23,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",250.373,85,0.0,0.0183,0.894,0.583,0.791
2004,2000s,All Falls Down,Kanye West,2004-02-10,"chicago rap, hip hop, rap",223.506,81,0.0,0.149,0.657,0.434,0.734
2004,2000s,Take Me Out,Franz Ferdinand,2004-02-16,"alternative rock, dance rock, indie rock, modern rock, rock, scottish rock",237.026,82,0.00051,0.000409,0.277,0.527,0.663
2004,2000s,Since U Been Gone,Kelly Clarkson,2004-01-17,"dance pop, pop, talent show",188.96,75,0.0303,0.00165,0.662,0.404,0.741
2004,2000s,Somebody Told Me,The Killers,2004,"alternative rock, dance rock, modern rock, permanent wave, rock",197.2,80,0.000674,9.04e-05,0.497,0.689,0.97
2004,2000s,Duality,Slipknot,2004,"alternative metal, nu metal, rap metal, rock",252.613,80,0.000294,0.000237,0.354,0.194,0.982
2004,2000s,Mockingbird,Eminem,2004-11-12,"detroit hip hop, hip hop, rap",250.76,85,0.0,0.209,0.637,0.254,0.678
2004,2000s,My Boo,USHER,2004-03-23,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",223.44,81,0.0,0.257,0.662,0.676,0.507
2004,2000s,American Idiot,Green Day,2004-09-21,"modern rock, permanent wave, punk, rock",176.346,80,7.86e-05,2.64e-05,0.38,0.769,0.988
2004,2000s,"One, Two Step (feat. Missy Elliott)",Ciara,2004-09-27,"dance pop, hip pop, pop, r&b, urban contemporary",203.786,76,0.00107,0.042,0.944,0.842,0.511
2004,2000s,Somewhere Only We Know,Keane,2004-05-10,"neo mellow, piano rock, pop rock",237.546,71,9.8e-06,0.0575,0.444,0.333,0.588
2004,2000s,Float On,Modest Mouse,2004-04-05,"alternative rock, chamber pop, indie rock, indietronica, modern rock, washington indie",208.466,73,2.23e-06,0.013,0.649,0.553,0.888
2004,2000s,Gasolina,Daddy Yankee,2004-07-13,"latin hip hop, reggaeton, trap latino, urbano latino",192.6,83,2.69e-06,0.322,0.852,0.741,0.797
2004,2000s,1985,Bowling For Soup,2004,"neon pop punk, pop punk, pop rock, texas pop punk",193.0,72,0.0,0.000242,0.606,0.903,0.887
2004,2000s,Let Me Love You,Mario,2004-12-06,"dance pop, r&b, southern hip hop, urban contemporary",249.093,70,0.0,0.163,0.622,0.607,0.593
2004,2000s,Rapp Snitch Knishes feat. Mr. Fantastik,MF DOOM,2004-11-16,"east coast hip hop, hip hop, instrumental hip hop, rap",172.893,76,0.0,0.327,0.728,0.825,0.832
2004,2000s,When the Sun Goes Down,Kenny Chesney,2004-01-22,"contemporary country, country, country road",290.56,70,3e-06,0.0432,0.798,0.708,0.741
2004,2000s,"Lo Que Pasó, Pasó",Daddy Yankee,2004-07-13,"latin hip hop, reggaeton, trap latino, urbano latino",210.933,80,0.0,0.104,0.819,0.84,0.741
2004,2000s,Hollaback Girl,Gwen Stefani,2004-11-23,"dance pop, pop",199.853,70,6.01e-06,0.35,0.926,0.904,0.916
2004,2000s,Cold,Crossfade,2004-04-13,"alternative metal, nu metal, post-grunge",194.226,70,0.0,6.06e-05,0.451,0.618,0.815
2004,2000s,Through The Wire,Kanye West,2004-02-10,"chicago rap, hip hop, rap",221.226,74,5.21e-06,0.00865,0.571,0.66,0.739
2004,2000s,Before I Forget,Slipknot,2004,"alternative metal, nu metal, rap metal, rock",278.6,76,5.44e-06,0.0177,0.291,0.348,0.974
2004,2000s,I'm Not Okay (I Promise),My Chemical Romance,2004-06-08,"emo, modern rock, pop punk, pov: indie, rock",186.48,75,0.0,0.00602,0.21,0.255,0.94
